"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1640","login functionality Error scenarios 1","chromium","2026-09-22","failed","2026-09-22","","multiIUserError.spec.js","",""
"","1281","login functionality Error scenarios 3","firefox","2026-09-22","passed","2026-09-22","","multiIUserError.spec.js","",""
"","839","login functionality Error scenarios 3","chromium","2026-09-22","passed","2026-09-22","","multiIUserError.spec.js","",""
"","30535","login and logout functionality","webkit","2026-09-22","broken","2026-09-22","","login.spec.js","",""
"","644","login functionality Error scenarios 3","webkit","2026-09-22","passed","2026-09-22","","multiIUserError.spec.js","",""
"","837","login functionality Error scenarios 2","chromium","2026-09-22","passed","2026-09-22","","multiIUserError.spec.js","",""
"","1626","login functionality Error scenarios 1","webkit","2026-09-22","failed","2026-09-22","","multiIUserError.spec.js","",""
"","2120","login functionality Error scenarios 1","firefox","2026-09-22","failed","2026-09-22","","multiIUserError.spec.js","",""
"","1283","login functionality Error scenarios 2","firefox","2026-09-22","passed","2026-09-22","","multiIUserError.spec.js","",""
"","822","login functionality Error scenarios 4","chromium","2026-09-22","passed","2026-09-22","","multiIUserError.spec.js","",""
"","603","login functionality Error scenarios 4","webkit","2026-09-22","passed","2026-09-22","","multiIUserError.spec.js","",""
"","1013","login functionality Error scenarios 2","webkit","2026-09-22","passed","2026-09-22","","multiIUserError.spec.js","",""
"","616","login functionality Error scenarios 4","firefox","2026-09-22","passed","2026-09-22","","multiIUserError.spec.js","",""
"","30478","login and logout functionality","chromium","2026-09-22","broken","2026-09-22","","login.spec.js","",""
"","30171","login and logout functionality","firefox","2026-09-22","broken","2026-09-22","","login.spec.js","",""
